Name,row,column,amount,date,hour,plate,well
2018-05-09_1,A,1,0.2506,2018-05-11,12,yp15,A1
2018-05-09_2,B,1,0.2272,2018-05-11,12,yp15,B1
2018-05-09_3,C,1,0.263,2018-05-11,12,yp15,C1
2018-05-09_4,D,1,0.2699,2018-05-11,12,yp15,D1
2018-05-09_5,E,1,1.0511,2018-05-11,12,yp15,E1
2018-05-09_6,F,1,0.3845,2018-05-11,12,yp15,F1
2018-05-09_7,A,2,1.4211,2018-05-11,12,yp15,A2
2018-05-09_8,B,2,1.4846,2018-05-11,12,yp15,B2
2018-05-09_9,C,2,2.3717,2018-05-11,12,yp15,C2
2018-05-09_10,D,2,1.7264,2018-05-11,12,yp15,D2
2018-05-09_11,E,2,2.9423,2018-05-11,12,yp15,E2
2018-05-09_12,F,2,10.1965,2018-05-11,12,yp15,F2
2018-05-09_13,A,3,2.8003,2018-05-11,12,yp15,A3
2018-05-09_14,B,3,2.641,2018-05-11,12,yp15,B3
2018-05-09_15,C,3,3.1536,2018-05-11,12,yp15,C3
2018-05-09_16,D,3,2.1604,2018-05-11,12,yp15,D3
2018-05-09_17,E,3,2.6409,2018-05-11,12,yp15,E3
2018-05-09_18,F,3,3.1209,2018-05-11,12,yp15,F3
2018-05-09_19,A,4,0.2776,2018-05-11,12,yp15,A4
2018-05-09_20,B,4,0.1219,2018-05-11,12,yp15,B4
2018-05-09_21,C,4,0.0992,2018-05-11,12,yp15,C4
2018-05-09_22,D,4,0.3262,2018-05-11,12,yp15,D4
2018-05-09_23,E,4,0.2437,2018-05-11,12,yp15,E4
2018-05-09_24,F,4,0.1429,2018-05-11,12,yp15,F4
2018-05-09_25,A,5,3.2263,2018-05-11,12,yp15,A5
2018-05-09_26,B,5,6.4572,2018-05-11,12,yp15,B5
2018-05-09_27,C,5,6.0265,2018-05-11,12,yp15,C5
2018-05-09_28,D,5,6.223,2018-05-11,12,yp15,D5
2018-05-09_29,E,5,6.6483,2018-05-11,12,yp15,E5
2018-05-09_30,F,5,6.3011,2018-05-11,12,yp15,F5
2018-05-09_31,A,6,5.5296,2018-05-11,12,yp15,A6
2018-05-09_32,B,6,6.4073,2018-05-11,12,yp15,B6
2018-05-09_33,C,6,6.1818,2018-05-11,12,yp15,C6
2018-05-09_34,D,6,5.6545,2018-05-11,12,yp15,D6
2018-05-09_35,E,6,5.4891,2018-05-11,12,yp15,E6
2018-05-09_36,F,6,6.0572,2018-05-11,12,yp15,F6
2018-05-09_37,A,7,0.3035,2018-05-11,12,yp15,A7
2018-05-09_38,B,7,0.3646,2018-05-11,12,yp15,B7
2018-05-09_39,C,7,0.3407,2018-05-11,12,yp15,C7
