row,column,od,gfp,date,hour,plate,well
A,1,0.135,741,2017-12-20,15,yp14,A1
A,2,0.146,976,2017-12-20,15,yp14,A2
A,3,0.12,1293,2017-12-20,15,yp14,A3
A,4,0.118,1414,2017-12-20,15,yp14,A4
A,5,0.158,1918,2017-12-20,15,yp14,A5
A,6,0.131,2174,2017-12-20,15,yp14,A6
A,7,0.129,2511,2017-12-20,15,yp14,A7
A,8,0.12,2672,2017-12-20,15,yp14,A8
A,9,0.128,2734,2017-12-20,15,yp14,A9
A,10,0.116,2819,2017-12-20,15,yp14,A10
A,11,0.041,212,2017-12-20,15,yp14,A11
A,12,0.039,191,2017-12-20,15,yp14,A12
B,1,0.137,742,2017-12-20,15,yp14,B1
B,2,0.148,1004,2017-12-20,15,yp14,B2
B,3,0.115,1199,2017-12-20,15,yp14,B3
B,4,0.113,1305,2017-12-20,15,yp14,B4
B,5,0.134,1849,2017-12-20,15,yp14,B5
B,6,0.129,2253,2017-12-20,15,yp14,B6
B,7,0.13,2357,2017-12-20,15,yp14,B7
B,8,0.117,2542,2017-12-20,15,yp14,B8
B,9,0.128,2831,2017-12-20,15,yp14,B9
B,10,0.114,3362,2017-12-20,15,yp14,B10
B,11,0.04,162,2017-12-20,15,yp14,B11
B,12,0.039,173,2017-12-20,15,yp14,B12
C,1,0.141,762,2017-12-20,15,yp14,C1
C,2,0.162,1011,2017-12-20,15,yp14,C2
C,3,0.124,1170,2017-12-20,15,yp14,C3
C,4,0.12,1296,2017-12-20,15,yp14,C4
C,5,0.132,2168,2017-12-20,15,yp14,C5
C,6,0.134,2190,2017-12-20,15,yp14,C6
C,7,0.13,2322,2017-12-20,15,yp14,C7
C,8,0.12,2460,2017-12-20,15,yp14,C8
C,9,0.138,2866,2017-12-20,15,yp14,C9
C,10,0.12,2856,2017-12-20,15,yp14,C10
C,11,0.041,221,2017-12-20,15,yp14,C11
C,12,0.041,183,2017-12-20,15,yp14,C12
D,1,0.138,437,2017-12-20,15,yp14,D1
D,2,0.14,407,2017-12-20,15,yp14,D2
D,3,0.115,406,2017-12-20,15,yp14,D3
D,4,0.108,295,2017-12-20,15,yp14,D4
D,5,0.124,367,2017-12-20,15,yp14,D5
D,6,0.111,387,2017-12-20,15,yp14,D6
D,7,0.123,332,2017-12-20,15,yp14,D7
D,8,0.11,373,2017-12-20,15,yp14,D8
D,9,0.117,375,2017-12-20,15,yp14,D9
D,10,0.11,356,2017-12-20,15,yp14,D10
D,11,0.04,115,2017-12-20,15,yp14,D11
D,12,0.04,249,2017-12-20,15,yp14,D12
E,1,0.136,444,2017-12-20,15,yp14,E1
E,2,0.141,380,2017-12-20,15,yp14,E2
E,3,0.121,375,2017-12-20,15,yp14,E3
E,4,0.11,305,2017-12-20,15,yp14,E4
